2024-12-30 16:50:06,223 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 16:50:06,232 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 16:52:46,687 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 16:52:46,694 - ERROR - Error loading checkpoint: module 'torch' has no attribute 'exists'
2024-12-30 17:21:35,888 - INFO - Batch 1-100: Trainer Wins: 28, Agent Wins: 15, Draws: 0, EPSILON: 1.0Trainer total reward: 0.88, Agent total reward:-0.11999999999999998 
2024-12-30 17:21:35,888 - INFO - Batch 1-100: Trainer Wins: 29, Agent Wins: 15, Draws: 0, EPSILON: 1.0Trainer total reward: 5.89, Agent total reward:-0.11999999999999998 
2024-12-30 17:21:35,902 - INFO - Batch 1-100: Trainer Wins: 30, Agent Wins: 15, Draws: 0, EPSILON: 1.0Trainer total reward: 25.939999999999998, Agent total reward:0.9099999999999999 
2024-12-30 17:21:35,915 - INFO - Batch 1-100: Trainer Wins: 30, Agent Wins: 16, Draws: 0, EPSILON: 1.0Trainer total reward: 0.42, Agent total reward:15.95 
2024-12-30 17:21:36,174 - INFO - Batch 1-100: Trainer Wins: 30, Agent Wins: 17, Draws: 0, EPSILON: 1.0Trainer total reward: 0.3799999999999999, Agent total reward:10.9 
2024-12-30 17:21:36,175 - INFO - Batch 1-100: Trainer Wins: 31, Agent Wins: 17, Draws: 0, EPSILON: 1.0Trainer total reward: 25.93, Agent total reward:0.38999999999999996 
2024-12-30 17:21:36,537 - INFO - Batch 1-100: Trainer Wins: 32, Agent Wins: 17, Draws: 0, EPSILON: 1.0Trainer total reward: 1.35, Agent total reward:1.8800000000000001 
2024-12-30 17:21:36,538 - INFO - Batch 1-100: Trainer Wins: 33, Agent Wins: 17, Draws: 0, EPSILON: 1.0Trainer total reward: 15.98, Agent total reward:0.45999999999999996 
2024-12-30 17:21:36,551 - INFO - Batch 1-100: Trainer Wins: 34, Agent Wins: 17, Draws: 0, EPSILON: 1.0Trainer total reward: 0.88, Agent total reward:-0.11999999999999998 
2024-12-30 17:21:36,562 - INFO - Batch 1-100: Trainer Wins: 34, Agent Wins: 18, Draws: 0, EPSILON: 1.0Trainer total reward: -0.09, Agent total reward:0.92 
2024-12-30 17:21:36,575 - INFO - Batch 1-100: Trainer Wins: 35, Agent Wins: 18, Draws: 0, EPSILON: 1.0Trainer total reward: 0.95, Agent total reward:0.46 
2024-12-30 17:21:36,753 - INFO - Batch 1-100: Trainer Wins: 36, Agent Wins: 18, Draws: 0, EPSILON: 1.0Trainer total reward: 0.89, Agent total reward:-0.10999999999999999 
2024-12-30 17:21:37,045 - INFO - Batch 1-100: Trainer Wins: 37, Agent Wins: 18, Draws: 0, EPSILON: 1.0Trainer total reward: 0.84, Agent total reward:-0.16 
2024-12-30 17:21:37,129 - INFO - Batch 1-100: Trainer Wins: 37, Agent Wins: 19, Draws: 0, EPSILON: 1.0Trainer total reward: 1.86, Agent total reward:0.83 
2024-12-30 17:21:37,131 - INFO - Batch 1-100: Trainer Wins: 38, Agent Wins: 19, Draws: 0, EPSILON: 1.0Trainer total reward: 0.91, Agent total reward:9.93 
2024-12-30 17:21:37,131 - INFO - Batch 1-100: Trainer Wins: 38, Agent Wins: 20, Draws: 0, EPSILON: 1.0Trainer total reward: -0.060000000000000005, Agent total reward:0.95 
2024-12-30 17:21:37,132 - INFO - Batch 1-100: Trainer Wins: 39, Agent Wins: 20, Draws: 0, EPSILON: 1.0Trainer total reward: 40.94, Agent total reward:0.88 
2024-12-30 17:21:37,247 - INFO - Batch 1-100: Trainer Wins: 40, Agent Wins: 20, Draws: 0, EPSILON: 1.0Trainer total reward: 0.9, Agent total reward:-0.09999999999999999 
2024-12-30 17:21:37,316 - INFO - Batch 1-100: Trainer Wins: 40, Agent Wins: 21, Draws: 0, EPSILON: 1.0Trainer total reward: -0.12999999999999998, Agent total reward:5.890000000000001 
2024-12-30 17:21:37,317 - INFO - Batch 1-100: Trainer Wins: 41, Agent Wins: 21, Draws: 0, EPSILON: 1.0Trainer total reward: 5.91, Agent total reward:0.9199999999999999 
2024-12-30 17:21:37,514 - INFO - Batch 1-100: Trainer Wins: 41, Agent Wins: 22, Draws: 0, EPSILON: 1.0Trainer total reward: -0.09, Agent total reward:0.92 
2024-12-30 17:21:37,514 - INFO - Batch 1-100: Trainer Wins: 42, Agent Wins: 22, Draws: 0, EPSILON: 1.0Trainer total reward: 10.969999999999999, Agent total reward:-0.05 
2024-12-30 17:21:37,564 - INFO - Batch 1-100: Trainer Wins: 42, Agent Wins: 23, Draws: 0, EPSILON: 1.0Trainer total reward: -0.10999999999999999, Agent total reward:1.92 
